code	desc
379.56	Other forms of nystagmus
626.2	Excessive or frequent menstruation
706.1	Other acne
V76.11	Screening mammogram for high-risk patient
239.4	Neoplasm of unspecified nature of bladder
327.52	Sleep related leg cramps
368.8	Other specified visual disturbances
750.3	Tracheoesophageal fistula, esophageal atresia and stenosis
V62.89	Other psychological or physical stress, not elsewhere classified
596.1	Intestinovesical fistula
394.0	Mitral stenosis
426.13	Other second degree atrioventricular block
572.8	Other sequelae of chronic liver disease
796.9	Other nonspecific abnormal findings
V62.84	Suicidal ideation
V76.10	Breast screening, unspecified
238.71	Essential thrombocythemia
V10.06	Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus
446.4	Wegener's granulomatosis
737.10	Kyphosis (acquired) (postural)
724.6	Disorders of sacrum
733.99	Other disorders of bone and cartilage
V07.4	Hormone replacement therapy (postmenopausal)
608.3	Atrophy of testis
611.1	Hypertrophy of breast
377.30	Optic neuritis, unspecified
253.4	Other anterior pituitary disorders
255.41	Glucocorticoid deficiency
E932.0	Adrenal cortical steroids causing adverse effects in therapeutic use
255.9	Unspecified disorder of adrenal glands
V12.54	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
V77.1	Screening for diabetes mellitus
V77.91	Screening for lipoid disorders
V16.0	Family history of malignant neoplasm of gastrointestinal tract
117.3	Aspergillosis
446.29	Other specified hypersensitivity angiitis
276.2	Acidosis
602.9	Unspecified disorder of prostate
897.2	Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, without mention of complication
V47.4	Other urinary problems
438.9	Unspecified late effects of cerebrovascular disease
807.00	Closed fracture of rib(s), unspecified
521.09	Other dental caries
781.0	Abnormal involuntary movements
789.02	Abdominal pain, left upper quadrant
371.81	Corneal anesthesia and hypoesthesia
322.9	Meningitis, unspecified
V64.06	Vaccination not carried out because of patient refusal
995.1	Angioneurotic edema, not elsewhere classified
235.2	Neoplasm of uncertain behavior of stomach, intestines, and rectum
729.82	Cramp of limb
414.02	Coronary atherosclerosis of autologous vein bypass graft
478.29	Other diseases of pharynx, not elsewhere classified
530.10	Esophagitis, unspecified
719.06	Effusion of joint, lower leg
924.9	Contusion of unspecified site
282.62	Hb-SS disease with crisis
569.1	Rectal prolapse
197.6	Secondary malignant neoplasm of retroperitoneum and peritoneum
569.2	Stenosis of rectum and anus
996.72	Other complications due to other cardiac device, implant, and graft
331.3	Communicating hydrocephalus
348.4	Compression of brain
793.1	
348.2	Benign intracranial hypertension
154.2	Malignant neoplasm of anal canal
566	Abscess of anal and rectal regions
478.6	Edema of larynx
716.20	Allergic arthritis, site unspecified
965.4	Poisoning by aromatic analgesics, not elsewhere classified
710.2	Sicca syndrome
252.00	Hyperparathyroidism, unspecified
897.0	Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication
333.5	Other choreas
213.9	Benign neoplasm of bone and articular cartilage, site unspecified
246.2	Cyst of thyroid
E884.4	Accidental fall from bed
V41.3	Other ear problems
358.00	Myasthenia gravis without (acute) exacerbation
792.1	Nonspecific abnormal findings in stool contents
277.89	Other specified disorders of metabolism
319	Unspecified intellectual disabilities
736.81	Unequal leg length (acquired)
752.51	Undescended testis
758.9	Conditions due to anomaly of unspecified chromosome
V12.61	Personal history of pneumonia (recurrent)
V20.2	Routine infant or child health check
279.06	Common variable immunodeficiency
686.1	Pyogenic granuloma of skin and subcutaneous tissue
V72.42	Pregnancy examination or test, positive result
796.4	Other abnormal clinical findings
795.03	Papanicolaou smear of cervix with low grade squamous intraepithelial lesion (LGSIL)
783.7	Adult failure to thrive
836.3	Dislocation of patella, closed
156.1	Malignant neoplasm of extrahepatic bile ducts
478.9	Other and unspecified diseases of upper respiratory tract
751.62	Congenital cystic disease of liver
789.09	Abdominal pain, other specified site
884.0	Multiple and unspecified open wound of upper limb, without mention of complication
921.0	Black eye, not otherwise specified
V81.6	Screening for other and unspecified genitourinary conditions
477.8	Allergic rhinitis due to other allergen
710.9	Unspecified diffuse connective tissue disease
719.49	Pain in joint, multiple sites
698.3	Lichenification and lichen simplex chronicus
733.01	Senile osteoporosis
784.42	Dysphonia
341.0	Neuromyelitis optica
341.8	Other demyelinating diseases of central nervous system
275.41	Hypocalcemia
428.42	Chronic combined systolic and diastolic heart failure
432.9	Unspecified intracranial hemorrhage
802.4	Closed fracture of malar and maxillary bones
704.1	Hirsutism
331.4	Obstructive hydrocephalus
331.5	Idiopathic normal pressure hydrocephalus (INPH)
242.00	Toxic diffuse goiter without mention of thyrotoxic crisis or storm
256.8	Other ovarian dysfunction
365.20	Primary angle-closure glaucoma, unspecified
713.5	Arthropathy associated with neurological disorders
440.9	Generalized and unspecified atherosclerosis
751.61	Biliary atresia
246.9	Unspecified disorder of thyroid
451.9	Phlebitis and thrombophlebitis of unspecified site
722.10	Displacement of lumbar intervertebral disc without myelopathy
V42.89	Other specified organ or tissue replaced by transplant
253.9	Unspecified disorder of the pituitary gland and its hypothalamic control
288.9	Unspecified disease of white blood cells
V25.9	Unspecified contraceptive management
560.81	Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
784.2	Swelling, mass, or lump in head and neck
780.94	Early satiety
V45.86	Bariatric surgery status
V06.6	Need for prophylactic vaccination and inoculation against streptococcus pneumoniae [pneumococcus] and influenza
959.7	Knee, leg, ankle, and foot injury
622.7	Mucous polyp of cervix
625.0	Dyspareunia
715.31	Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region
V81.2	Screening for other and unspecified cardiovascular conditions
552.1	Umbilical hernia with obstruction
171.5	Malignant neoplasm of connective and other soft tissue of abdomen
715.16	Osteoarthrosis, localized, primary, lower leg
831.00	Closed dislocation of shoulder, unspecified
589.9	Small kidney, unspecified
591	Hydronephrosis
598.9	Urethral stricture, unspecified
070.32	Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
V50.2	Routine or ritual circumcision
599	
709.00	Dyschromia, unspecified
783.5	Polydipsia
304.03	Opioid type dependence, in remission
078.5	Cytomegaloviral disease
079.0	Adenovirus infection in conditions classified elsewhere and of unspecified site
595.9	Cystitis, unspecified
216.7	Benign neoplasm of skin of lower limb, including hip
225.2	Benign neoplasm of cerebral meninges
356.1	Peroneal muscular atrophy
579.8	Other specified intestinal malabsorption
892.1	Open wound of foot except toe(s) alone, complicated
579.0	Celiac disease
478.74	Stenosis of larynx
648.80	Abnormal glucose tolerance of mother, unspecified as to episode of care or not applicable
V52.3	Fitting and adjustment of dental prosthetic device
799.89	Other ill-defined conditions
278.03	Obesity hypoventilation syndrome
301.9	Unspecified personality disorder
721.3	Lumbosacral spondylosis without myelopathy
733.40	Aseptic necrosis of bone, site unspecified
255.3	Other corticoadrenal overactivity
154.0	Malignant neoplasm of rectosigmoid junction
625.3	Dysmenorrhea
627.0	Premenopausal menorrhagia
719.07	Effusion of joint, ankle and foot
272.6	Lipodystrophy
V62.82	Bereavement, uncomplicated
305.60	Cocaine abuse, unspecified
532.90	Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction
575.0	Acute cholecystitis
255.0	Cushing's syndrome
626.1	Scanty or infrequent menstruation
396.3	Mitral valve insufficiency and aortic valve insufficiency
737.20	Lordosis (acquired) (postural)
362.34	Transient retinal arterial occlusion
570	Acute and subacute necrosis of liver
722.0	Displacement of cervical intervertebral disc without myelopathy
756.12	Spondylolisthesis
789.2	Splenomegaly
110.5	Dermatophytosis of the body
314.01	Attention deficit disorder with hyperactivity
708.8	Other specified urticaria
753.17	Medullary sponge kidney
357.2	Polyneuropathy in diabetes
707.13	Ulcer of ankle
379.00	Scleritis, unspecified
795.01	Papanicolaou smear of cervix with atypical squamous cells of undetermined significance (ASC-US)
V61.8	Other specified family circumstances
414.04	Coronary atherosclerosis of artery bypass graft
516.31	Idiopathic pulmonary fibrosis
569.0	Anal and rectal polyp
728.6	Contracture of palmar fascia
781.1	Disturbances of sensation of smell and taste
373.11	Hordeolum externum
787.7	Abnormal feces
646.80	Other specified complications of pregnancy, unspecified as to episode of care or not applicable
614.9	Unspecified inflammatory disease of female pelvic organs and tissues
625.9	Unspecified symptom associated with female genital organs
633.90	Unspecified ectopic pregnancy without intrauterine pregnancy
637.82	Unspecified abortion, with unspecified complication, complete
V25.1	
V25.12	Encounter for removal of intrauterine contraceptive device
V25.49	Surveillance of other contraceptive method
V12.72	Personal history of colonic polyps
726.11	Calcifying tendinitis of shoulder
315.00	Developmental reading disorder, unspecified
788.5	Oliguria and anuria
727.00	Synovitis and tenosynovitis, unspecified
348.1	Anoxic brain damage
438.0	Late effects of cerebrovascular disease, cognitive deficits
438.10	Late effects of cerebrovascular disease, speech and language deficit, unspecified
079.88	Other specified chlamydial infection
758.0	Down's syndrome
V76.43	Screening for malignant neoplasms of skin
333.0	Other degenerative diseases of the basal ganglia
V77.0	Screening for thyroid disorders
V78.1	Screening for other and unspecified deficiency anemia
600.20	Benign localized hyperplasia of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS)
727.9	Unspecified disorder of synovium, tendon, and bursa
491.20	Obstructive chronic bronchitis without exacerbation
529.5	Plicated tongue
780.8	Generalized hyperhidrosis
327.51	Periodic limb movement disorder
556.2	Ulcerative (chronic) proctitis
564.09	Other constipation
239.3	Neoplasm of unspecified nature of breast
905.4	Late effect of fracture of lower extremities
708.0	Allergic urticaria
708.3	Dermatographic urticaria
786.07	Wheezing
995.27	Other drug allergy
354.2	Lesion of ulnar nerve
706.2	Sebaceous cyst
300.29	Other isolated or specific phobias
620.9	Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament
263.9	Unspecified protein-calorie malnutrition
433.20	Occlusion and stenosis of vertebral artery without mention of cerebral infarction
525.10	Acquired absence of teeth, unspecified
426.11	First degree atrioventricular block
794.4	Nonspecific abnormal results of function study of kidney
830.0	Closed dislocation of jaw
053.19	Herpes zoster with other nervous system complications
173.92	Squamous cell carcinoma of skin, site unspecified
719.53	Stiffness of joint, not elsewhere classified, forearm
813.42	Other closed fractures of distal end of radius (alone)
011.95	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
458.0	Orthostatic hypotension
E819.9	Motor vehicle traffic accident of unspecified nature injuring unspecified person
041.10	Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified
682.2	Cellulitis and abscess of trunk
843.9	Sprains and strains of unspecified site of hip and thigh
695.3	Rosacea
788.7	Urethral discharge
802.8	Closed fracture of other facial bones
359.9	Myopathy, unspecified
600.01	Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
E931.0	Sulfonamides causing adverse effects in therapeutic use
610.1	Diffuse cystic mastopathy
172.5	Malignant melanoma of skin of trunk, except scrotum
441.7	Thoracoabdominal aneurysm, without mention of rupture
724.8	Other symptoms referable to back
V44.0	Tracheostomy status
575.11	Chronic cholecystitis
530.3	Stricture and stenosis of esophagus
788.33	Mixed incontinence (male) (female)
938	Foreign body in digestive system, unspecified
787.99	Other symptoms involving digestive system
694.4	Pemphigus
041.12	Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
275.1	Disorders of copper metabolism
V16.41	Family history of malignant neoplasm of ovary
443.0	Raynaud's syndrome
493.10	Intrinsic asthma, unspecified
686.01	Pyoderma gangrenosum
628.2	Infertility, female, of tubal origin
491.22	Obstructive chronic bronchitis with acute bronchitis
564.2	Postgastric surgery syndromes
729.39	Panniculitis, other site
V01.79	Contact with or exposure to other viral diseases
646.60	Infections of genitourinary tract in pregnancy, unspecified as to episode of care or not applicable
518.6	Allergic bronchopulmonary aspergillosis
V58.65	Long-term (current) use of steroids
250.03	Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled
414.9	Chronic ischemic heart disease, unspecified
V10.52	Personal history of malignant neoplasm of kidney
718.86	Other joint derangement, not elsewhere classified, lower leg
453.41	Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
588.89	Other specified disorders resulting from impaired renal function
V58.69	Long-term (current) use of other medications
642.40	Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable
568.0	Peritoneal adhesions (postoperative) (postinfection)
437.3	Cerebral aneurysm, nonruptured
634.90	Spontaneous abortion, without mention of complication, unspecified
428.23	Acute on chronic systolic heart failure
747.29	Other anomalies of aorta
239.9	Neoplasm of unspecified nature, site unspecified
790.92	Abnormal coagulation profile
355.0	Lesion of sciatic nerve
301.22	Schizotypal personality disorder
583.1	Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis
588.0	Renal osteodystrophy
791.5	Glycosuria
186.9	Malignant neoplasm of other and unspecified testis
280	
714	
172.7	Malignant melanoma of skin of lower limb, including hip
379.93	Redness or discharge of eye
873.8	Other and unspecified open wound of head without mention of complication
756.83	Ehlers-Danlos syndrome
427.69	Other premature beats
V70.3	Other general medical examination for administrative purposes
205.11	Chronic myeloid leukemia, in remission
793.89	Other (abnormal) findings on radiological examination of breast
348.8	
250.43	Diabetes with renal manifestations, type I [juvenile type], uncontrolled
368.30	Binocular vision disorder, unspecified
V05.3	Need for prophylactic vaccination and inoculation against viral hepatitis
305.02	Alcohol abuse, episodic
571.3	Alcoholic liver damage, unspecified
286.1	Congenital factor IX disorder
608.86	Edema of male genital organs
782.7	Spontaneous ecchymoses
031.9	Unspecified diseases due to mycobacteria
205.10	Chronic myeloid leukemia, without mention of having achieved remission
172.9	Melanoma of skin, site unspecified
289.83	Myelofibrosis
164.0	Malignant neoplasm of thymus
V44.2	Ileostomy status
249.80	Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified
736.79	Other acquired deformities of ankle and foot
791.9	Other nonspecific findings on examination of urine
821.01	Closed fracture of shaft of femur
821.31	Open fracture of condyle, femoral
377.10	Optic atrophy, unspecified
995.80	Adult maltreatment, unspecified
717.89	Other internal derangement of knee
728.86	Necrotizing fasciitis
756.52	Osteopetrosis
V25.01	General counseling on prescription of oral contraceptives
425.18	Other hypertrophic cardiomyopathy
746.89	Other specified congenital anomalies of heart
632	Missed abortion
250.53	Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled
746.01	Atresia of pulmonary valve, congenital
746.85	Coronary artery anomaly
426.12	Mobitz (type) II atrioventricular block
301.7	Antisocial personality disorder
742.1	Microcephalus
425.11	Hypertrophic obstructive cardiomyopathy
353.0	Brachial plexus lesions
571.6	Biliary cirrhosis
914.6	Superficial foreign body (splinter) of hand(s) except finger(s) alone, without major open wound and without mention of infection
946.0	Burns of multiple specified sites, unspecified degree
952.15	T7-T12 level with unspecified spinal cord injury
283.2	Hemoglobinuria due to hemolysis from external causes
296.25	Major depressive affective disorder, single episode, in partial or unspecified remission
452	Portal vein thrombosis
V12.04	Personal history of Methicillin resistant Staphylococcus aureus
727.67	Nontraumatic rupture of achilles tendon
362.81	Retinal hemorrhage
295.9	
428.3	
715.9	
698.0	Pruritus ani
710.3	Dermatomyositis
136.9	Unspecified infectious and parasitic diseases
356.8	Other specified idiopathic peripheral neuropathy
781.91	Loss of height
644.20	Early onset of delivery, unspecified as to episode of care or not applicable
669.71	Cesarean delivery, without mention of indication, delivered, with or without mention of antepartum condition
239.5	Neoplasm of unspecified nature of other genitourinary organs
787.6	
239.7	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
368.2	Diplopia
V13.89	Personal history of other specified diseases
580.0	Acute glomerulonephritis with lesion of proliferative glomerulonephritis
715.93	Osteoarthrosis, unspecified whether generalized or localized, forearm
367.1	Myopia
530.5	Dyskinesia of esophagus
799.22	Irritability
413.1	Prinzmetal angina
282.63	Sickle-cell/Hb-C disease without crisis
622.10	Dysplasia of cervix, unspecified
845.00	Sprain of ankle, unspecified site
624.1	Atrophy of vulva
379.91	Pain in or around eye
349.81	Cerebrospinal fluid rhinorrhea
756.10	Anomaly of spine, unspecified
078.10	Viral warts, unspecified
518.3	Pulmonary eosinophilia
759.6	Other hamartoses, not elsewhere classified
079.4	Human papillomavirus in conditions classified elsewhere and of unspecified site
195.0	Malignant neoplasm of head, face, and neck
808.8	Closed unspecified fracture of pelvis
180.0	Malignant neoplasm of endocervix
362.33	Partial retinal arterial occlusion
814.00	Closed fracture of carpal bone, unspecified
453.42	Acute venous embolism and thrombosis of deep vessels of distal lower extremity
250.62	Diabetes with neurological manifestations, type II or unspecified type, uncontrolled
V42.9	Unspecified organ or tissue replaced by transplant
122.8	Echinococcosis, unspecified, of liver
244.8	Other specified acquired hypothyroidism
753.13	Polycystic kidney, autosomal dominant
518.52	Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery
783.41	Failure to thrive
553.29	Other ventral hernia without mention of obstruction or gangrene
V15.84	Personal history of contact with and (suspected) exposure to asbestos
379.24	Other vitreous opacities
611.0	Inflammatory disease of breast
516.3	
535.60	Duodenitis, without mention of hemorrhage
529.3	Hypertrophy of tongue papillae
783.1	Abnormal weight gain
041.89	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria
378.00	Esotropia, unspecified
879.7	Open wound of other and unspecified parts of trunk, complicated
520.6	Disturbances in tooth eruption
722.4	Degeneration of cervical intervertebral disc
709.2	Scar conditions and fibrosis of skin
722.93	Other and unspecified disc disorder, lumbar region
836.2	Other tear of cartilage or meniscus of knee, current
786.00	Respiratory abnormality, unspecified
512.89	Other pneumothorax
516.30	Idiopathic interstitial pneumonia, not otherwise specified
V62.6	Refusal of treatment for reasons of religion or conscience
079.99	Unspecified viral infection
171.9	Malignant neoplasm of connective and other soft tissue, site unspecified
527.7	Disturbance of salivary secretion
802.0	Closed fracture of nasal bones
810.00	Closed fracture of clavicle, unspecified part
371.9	Unspecified corneal disorder
V02.54	Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
708.9	Urticaria, unspecified
476.0	Chronic laryngitis
518.0	Pulmonary collapse
618.1	Uterine prolapse without mention of vaginal wall prolapse
735.0	Hallux valgus (acquired)
913.0	Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection
438.21	Late effects of cerebrovascular disease, hemiplegia affecting dominant side
518.83	Chronic respiratory failure
V02.62	Hepatitis C carrier
V25.42	Surveillance of intrauterine contraceptive device
362.57	Drusen (degenerative)
V12.09	Personal history of other infectious and parasitic diseases
V17.4	
379.90	Disorder of eye, unspecified
752.69	Other penile anomalies
516.0	Pulmonary alveolar proteinosis
557.9	Unspecified vascular insufficiency of intestine
227.1	Benign neoplasm of parathyroid gland
E958.9	Suicide and self-inflicted injury by unspecified means
132.0	Pediculus capitis [head louse]
424.2	Tricuspid valve disorders, specified as nonrheumatic
428.30	Diastolic heart failure, unspecified
123.1	Cysticercosis
510.9	Empyema without mention of fistula
853.00	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness
445.81	Atheroembolism of kidney
008.8	Intestinal infection due to other organism, not elsewhere classified
337.9	Unspecified disorder of autonomic nervous system
573.3	Hepatitis, unspecified
V45.4	Arthrodesis status
781.8	Neurologic neglect syndrome
448.0	Hereditary hemorrhagic telangiectasia
610.8	Other specified benign mammary dysplasias
519.9	Unspecified disease of respiratory system
440.30	Atherosclerosis of unspecified bypass graft of the extremities
501	Asbestosis
414.10	Aneurysm of heart (wall)
V43.1	Lens replaced by other means
211.1	Benign neoplasm of stomach
241.9	Unspecified nontoxic nodular goiter
386.00	Mnire's disease, unspecified
727.04	Radial styloid tenosynovitis
590.00	Chronic pyelonephritis without lesion of renal medullary necrosis
161.0	Malignant neoplasm of glottis
236.7	Neoplasm of uncertain behavior of bladder
614.6	Pelvic peritoneal adhesions, female (postoperative) (postinfection)
531.70	Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction
127.2	Strongyloidiasis
252.1	Hypoparathyroidism
812.40	Closed fracture of unspecified part of lower end of humerus
197.0	Secondary malignant neoplasm of lung
842.10	Sprain of hand, unspecified site
533.40	Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction
681.9	Cellulitis and abscess of unspecified digit
733.95	Stress fracture of other bone
908.9	Late effect of unspecified injury
382.4	Unspecified suppurative otitis media
437.9	Unspecified cerebrovascular disease
592.1	Calculus of ureter
528.2	Oral aphthae
V45.51	Presence of intrauterine contraceptive device
718.44	Contracture of joint, hand
372.05	Acute atopic conjunctivitis
471.9	Unspecified nasal polyp
493.02	Extrinsic asthma with (acute) exacerbation
812.00	Closed fracture of unspecified part of upper end of humerus
695.2	Erythema nodosum
526.9	Unspecified disease of the jaws
528.00	Stomatitis and mucositis, unspecified
V01.6	Contact with or exposure to venereal diseases
337.20	Reflex sympathetic dystrophy, unspecified
799.29	Other signs and symptoms involving emotional state
893.1	Open wound of toe(s), complicated
715.89	Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites
204.11	Chronic lymphoid leukemia, in remission
288.61	Lymphocytosis (symptomatic)
173.99	Other specified malignant neoplasm of skin, site unspecified
878.5	Open wound of vulva, complicated
738.4	Acquired spondylolisthesis
357.0	Acute infective polyneuritis
753.0	Renal agenesis and dysgenesis
287.31	Immune thrombocytopenic purpura
250.91	Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled
E960.1	Rape
198.2	Secondary malignant neoplasm of skin
196.1	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
196.5	Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
425.1	
V65.44	Human immunodeficiency virus (HIV) counseling
621.0	Polyp of corpus uteri
621.9	Unspecified disorder of uterus
671.30	Deep phlebothrombosis, antepartum, unspecified as to episode of care or not applicable
579.9	Unspecified intestinal malabsorption
155.2	Malignant neoplasm of liver, not specified as primary or secondary
795.11	Papanicolaou smear of vagina with atypical squamous cells of undetermined significance (ASC-US)
446.5	Giant cell arteritis
304.93	Unspecified drug dependence, in remission
099.50	Other venereal diseases due to chlamydia trachomatis, unspecified site
524.60	Temporomandibular joint disorders, unspecified
442.3	Aneurysm of artery of lower extremity
717.5	Derangement of meniscus, not elsewhere classified
364.00	Acute and subacute iridocyclitis, unspecified
707.8	Chronic ulcer of other specified sites
493.21	Chronic obstructive asthma with status asthmaticus
743.30	Congenital cataract, unspecified
296.34	Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior
333.82	Orofacial dyskinesia
368.9	Unspecified visual disturbance
V10.83	Personal history of other malignant neoplasm of skin
429.0	Myocarditis, unspecified
851.80	Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness
268.2	Osteomalacia, unspecified
233.30	Carcinoma in situ, unspecified female genital organ
621.5	Intrauterine synechiae
346.20	Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus
191.9	Malignant neoplasm of brain, unspecified
384.9	Unspecified disorder of tympanic membrane
727.41	Ganglion of joint
087.9	Relapsing fever, unspecified
272.5	Lipoprotein deficiencies
527.8	Other specified diseases of the salivary glands
782.5	Cyanosis
985.8	Toxic effect of other specified metals
344.04	Quadriplegia, C5-C7, incomplete
428.20	Systolic heart failure, unspecified
327.02	Insomnia due to mental disorder
997.1	Cardiac complications, not elsewhere classified
003.9	Salmonella infection, unspecified
331.9	Cerebral degeneration, unspecified
478.79	Other diseases of larynx, not elsewhere classified
256.1	Other ovarian hyperfunction
377.49	Other disorders of optic nerve
599.1	Urethral fistula
608.9	Unspecified disorder of male genital organs
959.19	Other injury of other sites of trunk
V49.89	Other specified conditions influencing health status
228.09	Hemangioma of other sites
374.00	Entropion, unspecified
535.40	Other specified gastritis, without mention of hemorrhage
784.5	
355.8	Mononeuritis of lower limb, unspecified
897.4	Traumatic amputation of leg(s) (complete) (partial), unilateral, level not specified, without mention of complication
726.33	Olecranon bursitis
336.9	Unspecified disease of spinal cord
223.0	Benign neoplasm of kidney, except pelvis
287.9	Unspecified hemorrhagic conditions
611.4	Atrophy of breast
V41.2	Problems with hearing
296.7	Bipolar I disorder, most recent episode (or current) unspecified
404.11	Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
575.8	Other specified disorders of gallbladder
443.81	Peripheral angiopathy in diseases classified elsewhere
053.11	Geniculate herpes zoster
701.2	Acquired acanthosis nigricans
250.71	Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled
281	
963.1	Poisoning by antineoplastic and immunosuppressive drugs
V13.59	Personal history of other musculoskeletal disorders
510.0	Empyema with fistula
680.1	Carbuncle and furuncle of neck
861.01	Contusion of heart without mention of open wound into thorax
675.10	Abscess of breast associated with childbirth, unspecified as to episode of care or not applicable
608.89	Other specified disorders of male genital organs
238.4	Polycythemia vera
531.40	Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction
456.0	Esophageal varices with bleeding
718.40	Contracture of joint, site unspecified
722.81	Postlaminectomy syndrome, cervical region
754.70	Talipes, unspecified
895.0	Traumatic amputation of toe(s) (complete) (partial), without mention of complication
755.31	Transverse deficiency of lower limb
133.0	Scabies
388.60	Otorrhea, unspecified
886.0	Traumatic amputation of other finger(s) (complete) (partial), without mention of complication
610.2	Fibroadenosis of breast
756.0	Anomalies of skull and face bones
780.54	Hypersomnia, unspecified
794.2	Nonspecific abnormal results of pulmonary function study
323.9	Unspecified causes of encephalitis, myelitis, and encephalomyelitis
786.3	
378.51	Third or oculomotor nerve palsy, partial
378.54	Sixth or abducens nerve palsy
380.10	Infective otitis externa, unspecified
715.15	Osteoarthrosis, localized, primary, pelvic region and thigh
295.62	Schizophrenic disorders, residual type, chronic
V40.9	Unspecified mental or behavioral problem
170.9	Malignant neoplasm of bone and articular cartilage, site unspecified
214.3	Lipoma of intra-abdominal organs
305.53	Opioid abuse, in remission
599.60	Urinary obstruction, unspecified
709.8	Other specified disorders of skin
369.20	Moderate or severe impairment, both eyes, impairment level not further specified
530.9	Unspecified disorder of esophagus
242.20	Toxic multinodular goiter without mention of thyrotoxic crisis or storm
V17.2	Family history of other neurological diseases
447.9	Unspecified disorders of arteries and arterioles
703.8	Other specified diseases of nail
V64.2	Surgical or other procedure not carried out because of patient's decision
728.3	Other specific muscle disorders
277.39	Other amyloidosis
757.6	Specified congenital anomalies of breast
700	Corns and callosities
263.0	Malnutrition of moderate degree
997.5	Urinary complications, not elsewhere classified
456.8	Varices of other sites
426.82	Long QT syndrome
680.5	Carbuncle and furuncle of buttock
727.81	Contracture of tendon (sheath)
722.91	Other and unspecified disc disorder, cervical region
568.89	Other specified disorders of peritoneum
214.0	Lipoma of skin and subcutaneous tissue of face
353.9	Unspecified nerve root and plexus disorder
907.0	Late effect of intracranial injury without mention of skull fracture
431	Intracerebral hemorrhage
715.17	Osteoarthrosis, localized, primary, ankle and foot
825.20	Closed fracture of unspecified bone(s) of foot [except toes]
284.1	
364.3	Unspecified iridocyclitis
015.90	Tuberculosis of unspecified bones and joints, unspecified
733.02	Idiopathic osteoporosis
309.28	Adjustment disorder with mixed anxiety and depressed mood
493.00	Extrinsic asthma, unspecified
759.89	Other specified congenital anomalies
811.09	Closed fracture of scapula, other
013.00	Tuberculous meningitis, unspecified
V45.11	Renal dialysis status
575.9	Unspecified disorder of gallbladder
IMO0002	
V68.81	Referral of patient without examination or treatment
349.9	Unspecified disorders of nervous system
V42.6	Lung replaced by transplant
626.8	Other disorders of menstruation and other abnormal bleeding from female genital tract
760.71	Alcohol affecting fetus or newborn via placenta or breast milk
V62.2	
718.81	Other joint derangement, not elsewhere classified, shoulder region
337.3	Autonomic dysreflexia
436	Acute, but ill-defined, cerebrovascular disease
362.11	Hypertensive retinopathy
718.87	Other joint derangement, not elsewhere classified, ankle and foot
695.10	Erythema multiforme, unspecified
701.4	Keloid scar
719.44	Pain in joint, hand
835.00	Closed dislocation of hip, unspecified site
733.13	Pathologic fracture of vertebrae
607.85	Peyronie's disease
746.9	Unspecified congenital anomaly of heart
277.30	Amyloidosis, unspecified
295.32	Paranoid type schizophrenia, chronic
